name,price,Brand,Collection,Series,Model No,Features,Movement,Calibre,Case Size,Case Thickness,Case Shape,Case Material,Case Back,Glass Material,Luminosity,Dial Colour,Hands,Indexes,Strap Material,Strap Colour,Clasp Type,Buckle/Clasp Material,EAN,Gender,Water Resistance (M),Warranty Period,Country of Origin,Reference,Display,Power Reserve,Jewels,Frequency,Precious Stone,Interchangeable Strap,Bezel,Lug Width,Limited Edition,Diameter,Date,Chronograph,Base,Frequency (bph),Power Reserve (hours),jewels,Dial Type
True Round Automatic,177300,Rado,True Round,,R27056162,Date,Automatic,,40.0,,Round,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819050195.0,Men,50,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
True Round,227100,Rado,True Round,,R27242732,Date,Automatic,,30.0,,Round,Ceramic,,Sapphire Crystal,,Black,,,Ceramic,Black,,,7612819053882.0,Women,50,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
"Freelancer Calibre RW1212 Menís Automatic Green Leather Strap Watch, 40 x 40 mm",245000,Raymond Weil,Freelancer,,2790-STC-52051,Open Balance Wheel,Automatic,RW1212,40.0,10.5,Square,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Green,Baton,Baton,Leather,Green,Folding Clasp,Steel,7611784052333.0,Men,100,2 Years + 1 year warranty extension by registering here,Switzerland,RW1212,Analog,approx. 41 hours,27.0,28800 bph,,0,,,0,,,,,28800.0,0.41,,
"Freelancer Ladies Automatic Green Dial Leather Watch, 34.5 x 34.5 mm",285000,Raymond Weil,Freelancer,,2490-SCS-52051,Date,Automatic,RW4200,34.5,9.3,Square,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Green,Baton,Baton,Leather,Green,Folding Clasp,Steel,7611784052371.0,Women,100,2 Years + 1 year warranty extension by registering here,Switzerland,RW4200,Analog,Approx. 41 hours,26.0,28800 bph,On Bezel,0,,,0,,,,,28800.0,0.41,,
Highlife Automatic COSC,227500,Frederique Constant,Highlife,Highlife Automatic COSC,FC-303V4NH2B,Date,Automatic,FC-303,41.0,,Round,Steel & Rose Gold Plated,,Sapphire Crystal,,Silver,,,Steel & Rose Gold Plated,Silver & Rose Gold,,,7688200333833.0,Men,50,2 Years,Switzerland,FC-303,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Highlife Ladies Quartz,151500,Frederique Constant,Highlife,Highlife Ladies Quartz,FC-240VD2NH2B,Date,Quartz,,31.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,Silver,,,Steel & Rose Gold PVD,Silver & Rose Gold,,,7630428458485.0,Women,50,2 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
Navitimer Automatic 41,883500,Breitling,Navitimer,,U17329F41G1U1,,Automatic,Breitling 17,41.0,11.6,Round,Steel & Rose Gold,,Sapphire Crystal,"On Hands, Hour Markers",Beige,Pencil,Baton,Steel & Rose Gold,Silver & Rose Gold,Butterfly Clasp,Steel,,Men,30,2 Years,Switzerland,Breitling 17,Analog,Approx. 38 hours,26.0,28800 bph,,0,Bi-directional Rotating Bezel,22.0,0,,,,,28800.0,0.38,,
Navitimer Automatic 36,864900,Breitling,Navitimer,,U17327211A1U1,,Automatic,Breitling 17,36.0,11.4,Round,Steel & Rose Gold,,Sapphire Crystal,On Hands,White MOP,Pencil,Diamond,Steel & Rose Gold,Silver & Rose Gold,Folding Clasp,Steel,,Women,30,2 Years,Switzerland,Breitling 17,Analog,Approx. 38 hours,26.0,28800 bph,On Dial,0,Bi-directional Rotating Bezel,18.0,0,,,,,28800.0,0.38,,
La Grande Classique De Longines,146000,Longines,La Grande Classique De Longines,,L4.755.1.91.7,,Quartz,,36.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,White,Stick,Roman Numerals,Steel & Rose Gold PVD,Silver & Rose Gold,Folding Clasp,,7612356188825.0,Men,30,2 Years,Switzerland,,,,,,,0,,20.0,0,,,,,,,,
La Grande Classique de Longines,178000,Longines,La Grande Classique De Longines,,L4.709.1.88.7,,Quartz,,33.0,,Round,Steel & Rose Gold PVD,,Sapphire Crystal,,MOP,,,Steel & Rose Gold PVD,Silver & Rose Gold,,,7612356208967.0,Women,30,2 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Laureato Chronograph 42 mm,1970000,Girard-Perregaux,Laureato,Chronograph,81020-11-131-11A,"Chronograph, Date, Small Seconds",Automatic,GP03300,42.0,12.01,Octagon,Steel,,Sapphire Crystal,"On Hands, Hour Markers",Silver,Pencil,Baton,Steel,Silver,Folding Buckle,Steel,7630033513852.0,Men,100,2 Years + 3 years warranty extension by scanning the QR code on the warranty card,Switzerland,GP03300,Analog,approx. 46 hours,63.0,28800 bph,,0,,27.0,0,,,,,28800.0,0.46,,
Pioneer Centre Seconds,1600000,H. Moser & Cie.,Pioneer,Centre Seconds,3200-1205,,Automatic,HMC 200,42.8,10.6,Round,Steel & Black DLC,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,,,Rubber,Black,Pin Buckle,Steel & Black DLC,,Men,120,2 Years,Switzerland,HMC 200,Analog,Approx. 72 hours,27.0,21600 bph,,0,,,0,,,,,21600.0,0.72,,
Heritage Centre Seconds,1600000,H. Moser & Cie.,Heritage,Centre Seconds,8200-1201,,Automatic,HMC 200,42.0,11.1,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,Sword,Arabic Numerals,Leather,Beige,Pin Buckle,Steel,,Men,30,2 Years,Switzerland,HMC 200,Analog,approx. 72 hours,27.0,21600 bph,,0,,,0,,,,,21600.0,0.72,,
Eight-Day Blue,1370000,Arnold & Son,Eight-Day,,1.EDAS.U01C.S136D,"Date, Power Reserve Indicator, Small Seconds",Manual Winding,A&S1016,43.0,,Round,Steel,See-through Case Back,Sapphire Crystal,,Blue,,,Steel,Silver,Folding Clasp,,,Men,30,2 Years,Switzerland,A&S1016,Analog,approx. 192 hours,33.0,21600 bph,,0,,,0,,,,,21600.0,0.192,,
Manero Flyback,772632,Carl F. Bucherer,Manero,Flyback,00.10919.08.13.21,"Date, Flyback Chronograph, Small Seconds, Tachymeter",Automatic,CFB 1970,43.0,14.45,Round,Steel,See-through Case Back,Sapphire Crystal,,Silver,Dauphine,,Steel,Silver,Folding Clasp,Steel,,Men,30,2 Years,Switzerland,CFB 1970,Analog,Approx. 42 hours,29.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
Tangente Sport Neomatik 42 Date,456000,Nomos Glashutte,Tangente,,580,"Date, Small Seconds",Automatic,DUW 6101,42.0,10.9,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",White,Pencil,Arabic Numerals,Steel,Silver,Deployant Clasp,Steel,4037525005803.0,Men,300,2 Years,Germany,DUW 6101,Analog,approx. 42 hours,27.0,21600 bph,,0,,,0,,,,,21600.0,0.42,,
"Clifton Automatic Watch, Moon Phase Date - 42mm",460000,Baume & Mercier,Clifton,,MOA10552,"Day-Date, Moon Phase",Automatic,BM14 1975 AC1,42.0,,Round,Steel,See-through Case Back,Sapphire Crystal,,White,,,Steel,Silver,Folding Clasp,,7613375425922.0,Men,50,2 Years,Switzerland,BM14 1975 AC1,Analog,approx. 120 hours,21.0,28800 bph,,0,,,0,,,,,28800.0,0.12,,
"Freelancer Calibre RW1212 Men's Automatic Green Watch, 42mm",233000,Raymond Weil,Freelancer,,2780-STC-52001,Open Balance Wheel,Automatic,RW1212,42.0,10.9,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Green,Baton,Baton,Fabric,Green,Folding Clasp,Steel,7611784048367.0,Men,100,2 Years + 1 year warranty extension by registering here,Switzerland,RW1212,Analog,approx. 41 hours,27.0,28800 bph,,0,,,0,,,,,28800.0,0.41,,
SUB 300T Professional,201000,Doxa,SUB 300T,Professional,840.10.351.10,Date,Automatic,Sellita SW200-1,42.5,,Round,Steel,,Sapphire Crystal,,Orange,,,Steel,Silver,Folding Clasp,,7640462130179.0,Men,1200,2 Years,Switzerland,Sellita SW200-1,Analog,Approx. 38 hours,26.0,28800 bph,,0,Unidirectional Rotating Bezel,,0,,,,,28800.0,0.38,,
Tissot PRS 516 Automatic Chronograph,211000,Tissot,T-Sport,Tissot PRS 516,T100.427.36.201.00,"Chronograph, Date, Tachymeter",Automatic,A05.H31,45.0,,Round,Steel & Black PVD,,Sapphire Crystal,,Black,,,Leather,Black,,,7611608273203.0,Men,100,2 Years,Switzerland,A05.H31,Analog,,27.0,,,0,,,0,,,,,,,,
Heritage Bicompax Annual,1217160,Carl F. Bucherer,Heritage,Bicompax Annual,00.10803.07.42.01,"Annual Calendar, Chronograph, Date, Small Seconds, Tachymeter, Month",Automatic,CFB 1972,41.0,7.3,Round,Steel & Rose Gold,See-through Case Back,Sapphire Crystal,On Hands,Champagne,Syringe,,Leather,Brown,Pin Buckle,Steel,1888016661045.0,Men,30,2 Years,Switzerland,CFB 1972,Analog,Approx. 42 hours,47.0,28800 bph,,0,,,1,,,,,28800.0,0.42,,
Free Bridge,2300000,Girard-Perregaux,Bridges,Neo Bridges,82000-11-631-FA6A,,Automatic,GP01800-1170,44.0,12.2,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Skeleton,Dauphine,,Leather,Black,Triple Folding Buckle,Steel,7630033520867.0,Men,30,2 Years + 3 Years warranty extension by scanning the QR code on the warranty card,Switzerland,GP01800-1170,Analog,approx. 54 hours,23.0,28800 bph,,0,,,0,,,,,28800.0,0.54,,
Tonda Metrographe,3650000,Parmigiani,Tonda,Metrographe,PFC274-1002500-HA3241,"Chronograph, Date, Small Seconds, Tachymeter",Automatic,PF315,40.0,11.7,Round,Rose Gold,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,Delta,Baton,Leather,Blue,Pin Buckle,Rose Gold,,Men,30,2 Years,Switzerland,PF315,Analog,approx. 42 hours,46.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
Aikon Automatic 42mm,232000,Maurice Lacroix,Aikon,Aikon Automatic,AI6008-SS002-331-2,Date,Automatic,ML115,42.0,11.0,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Anthracite,,Baton,Steel,Silver,Folding Clasp,Steel,7630020610632.0,Men,200,2 Years,Switzerland,ML115,Analog,approx. 38 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
Presage Special 'Urushi' Limited Edition,210000,Seiko,Presage,Craftsmanship,SPB085J1,"Day-Date, Power Reserve Indicator",Automatic,6R21,40.5,,Round,Steel,See-through Case Back,,,Black,,,Leather,Black,,,4954628227690.0,Men,100,2 Years,Japan,6R21,Analog,approx. 45 hours,29.0,,,0,,,1,,,,,,0.45,,
"Clifton Automatic Watch, Cosc Certified, Date - 40mm",340000,Baume & Mercier,Clifton,,MOA10468,Date,Automatic,,40.0,,Round,Steel,,Sapphire Crystal,,Blue,,,Steel,Silver,Folding Clasp,,7613375144557.0,Men,50,2 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Pontos Chronograph 43mm,291000,Maurice Lacroix,Pontos,,PT6388-SS002-430-1,"Chronograph, Date, Small Seconds",Automatic,ML112,43.0,,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,Baton,Baton,Steel,Silver,Butterfly Clasp,Steel,7630020607199.0,Men,100,2 Years,Switzerland,ML112,Analog,approx. 52 hours,21.0,28800 bph,,0,,,0,,,,,28800.0,0.52,,
Manufacture Classic Hybrid,377900,Frederique Constant,Manufacture,Manufacture Classic Hybrid,FC-750V4H4,Activity Tracker,Automatic,FC-750,42.0,,Round,Steel & Rose Gold Plated,,Sapphire Crystal,"On Hands, Hour Markers",Silver,,,Leather,Brown,,,7688200314139.0,Men,50,2 Years,Switzerland,FC-750,Hybrid Smart Watch,approx. 38 hours,33.0,28000 bph,,0,,,0,,,,,28000.0,0.38,,
Metro Neomatik 39 Midnight Blue,378000,Nomos Glashutte,Metro,,1115,Small Seconds,Automatic,DUW 3001,38.5,8.4,Round,Steel,See-through Case Back,Sapphire Crystal,,Blue,Stick,Stick / Dot,Leather,Black,Winged Clasp,Steel,4037525011156.0,Men,50,2 Years,Germany,DUW 3001,Analog,approx. 43 hours,27.0,21600 bph,,0,,19.0,0,28.8,,,,21600.0,0.43,,
SUB 300 Carbon Sharkhunter,412000,Doxa,SUB 300 Carbon,Sharkhunter,822.70.101.20,Date,Automatic,Sellita SW200-1,42.5,13.4,Round,Carbon,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,Pencil,Baton,Rubber,Black,Folding Clasp,Steel & Black PVD,7640462130957.0,Men,300,2 Years,Switzerland,Sellita SW200-1,Analog,Approx. 38 hours,26.0,28800 bph,,0,Unidirectional Rotating Bezel,20.0,0,,,,,28800.0,0.38,,
S300,395500,Bremont,Supermarine,,S300-WH-B,Date,Automatic,BE-92AE,40.0,13.0,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",White,Obelisque,Arabic Numerals,Steel,Silver,Folding Clasp,Steel,,Men,300,3 Years,England,BE-92AE,Analog,approx. 38 hours,21.0,28800 bph,,0,Unidirectional Rotating Bezel,20.0,0,,,,,28800.0,0.38,,
Aquaracer,515100,TAG Heuer,Aquaracer,Professional 300,WBD218A.FC6445,"Date, GMT",Automatic,Calibre 5 Automatic,41.0,11.15,Round,Titanium & Carbon,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,Plongeur,Baton,Nylon,Black,Folding Clasp,Titanium & Black PVD,7612533147416.0,Men,300,2 Years,Switzerland,Calibre 5 Automatic,Analog,approx. 38 hours,25.0,28800 bph,,0,Unidirectional Rotating Bezel,,0,,,,,28800.0,0.38,,
Raider Harpoon,492000,Favre Leuba,Raider Harpoon,,00.10101.08.52.20,"Helium Escape Valve, Seconds Disk",Automatic,FL301,46.0,,Cushion,Steel & Aluminium,,Sapphire Crystal,"On Hands, Hour Markers",Blue,,,Steel,Silver,Folding Clasp,Steel,7640186420044.0,Men,500,5 Years,Switzerland,,,Approx. 38 hours,,,,0,Unidirectional Rotating Bezel,,0,,,,,,0.38,,
Superocean Heritage B20 Automatic 42,469700,Breitling,Superocean Heritage,,AB2010161C1S1,Date,Automatic,B20,42.0,,Round,Steel,,Sapphire Crystal,On Hands & Dial,Blue,,,Rubber,Blue,,,,Men,200,5 Years,Switzerland,B20,Analog,approx. 70 hours,28.0,28800 bph,,0,Unidirectional Rotating Bezel,,0,,,,,28800.0,0.7,,
SUB 300 Carbon Aqua Lung US Divers Sharkhunter,507000,Doxa,SUB 300 Carbon Aqua Lung US Divers,Sharkhunter,822.70.101AQL.20,Date,Automatic,ETA 2824-2,42.5,13.4,Round,Carbon,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Black,,,Rubber,Black,Folding Clasp,Steel & Black PVD,7640462130926.0,Men,300,2 Years,Switzerland,ETA 2824-2,Analog,approx. 38 hours,25.0,28800 bph,,0,Unidirectional Rotating Bezel,20.0,1,,,,,28800.0,0.38,,
Admiral 32 Automatic,559000,Corum,Admiral,Admiral 32,400.100.20/V200 MN02,,Automatic,CO 400,32.0,,Round,Steel,,Sapphire Crystal,,MOP,,,Steel,Silver,Folding Clasp,,7640177002341.0,Women,50,2 Years,Switzerland,CO 400,Analog,approx. 40 hours,18.0,28800 bph,,0,,,0,,,,,28800.0,0.4,,
Iconic High Intensity Titanium Snowflake Spring Drive,530000,Grand Seiko,Heritage,,SBGA211G,"Date, Power Reserve Indicator",Spring Drive,9R65,41.0,12.5,Round,Titanium,See-through Case Back,Sapphire Crystal,,Silver,Dauphine,Baton,Titanium,Silver,Triple Folding Clasp With Push Buttons,,4954628206121.0,Men,100,5 Years,Japan,9R65,Analog,approx. 72 hours,,32768 bph,,0,,20.0,0,,,,,32768.0,0.72,,
Admiral 38 Automatic,588000,Corum,Admiral,Admiral 38,082.200.20/V200 MN02,Date,Automatic,CO 082,38.0,,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers",MOP,,,Steel,Silver,Folding Clasp,,7640177002310.0,Women,50,2 Years,Switzerland,CO 082,Analog,approx. 42 hours,,,,0,,,0,,,,,,0.42,,
Big Crown Propilot Calibre 111,600000,Oris,ProPilot,Big Crown ProPilot Calibre 111,01 111 7711 4163-Set 8 22 19,"Date, Power Reserve Indicator, Small Seconds",Manual Winding,Calibre 111,44.0,14.0,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Grey,Alpha,Arabic Numerals,Steel,Silver,Folding Clasp,Steel,7612611025087.0,Men,100,"2 Years, register on My Oris to extend your warranty for free to 5 Years",Switzerland,Calibre 111,Analog,approx. 240 hours,40.0,21600 bph,,0,,22.0,0,34.0,Date,,,21600.0,0.24,,
Reverso One Monoface,720000,Jaeger-LeCoultre,Reverso,Reverso One,Q3288420,,Quartz,,40.1,8.52,Rectangular,Steel,,Sapphire Crystal,,Silver,Dauphine,Stick / Dot,Leather,Blue,Double Folding Buckle,Steel,7630007190164.0,Women,30,2 Years + 6 years warranty extension by registering here,Switzerland,,,,,,On Bezel,1,,14.0,0,,,,,,,,
Special Edition Rose,566500,Bremont,Altitude,,The Bremont Rose-R-S,"Chronograph, Date",Automatic,BE-50AE,43.0,,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",White,,Arabic Numerals,Leather,Blue,Pin Buckle,Steel,,Men,100,3 Years,England,BE-50AE,Analog,approx. 42 hours,25.0,28800 bph,,0,,22.0,0,,,,,28800.0,0.42,,
Sport,590000,Grand Seiko,Sport,,SBGJ237G,"Date, GMT",Automatic,9S86,44.2,14.4,Round,Steel,,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Blue,,Baton,Steel,Silver,Triple Folding Clasp With Push Buttons,Steel,4954628234162.0,Men,200,5 Years,Japan,9S86,Analog,approx. 55 hours,37.0,36000 bph,,0,Unidirectional Rotating Bezel,22.0,0,,,,,36000.0,0.55,,
Pathos Queen,672084,Carl F. Bucherer,Pathos,Queen,00.10550.07.25.21,Date,Automatic,CFB 1969,26.5,9.08,Round,Steel & Rose Gold,See-through Case Back,Sapphire Crystal,,White,,Roman Numerals,Steel & Rose Gold,Silver & Rose Gold,Folding Clasp,,1888036663043.0,Women,30,2 Years,Switzerland,CFB 1969,Analog,Approx. 38 hours,25.0,28800 bph,,0,,,0,,,,,28800.0,0.38,,
ALT1-C Griffon,609500,Bremont,Altitude,Pilot Chronographs,ALT1-C-GRIFFON-B,"Chronograph, Date, Small Seconds",Automatic,BE-50AE,43.0,16.0,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Black,Pencil,Arabic Numerals,Steel,Silver,Folding Clasp,Steel,,Men,100,3 Years,England,BE-50AE,Analog,approx. 42 hours,25.0,28800 bph,,0,,22.0,0,,,,,28800.0,0.42,,
Admiral 45  Automatic,1020000,Corum,Admiral,Admiral 45,082.500.53/0F62 AW02,Date,Automatic,,45.0,,Round,Bronze,,Sapphire Crystal,,Brown,,,Leather,Brown,,,7640177001054.0,Men,100,2 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Laureato 34 mm,1340000,Girard-Perregaux,Laureato,Classic Laureato,80189D11A431-11A,Date,Quartz,,34.0,7.75,Octagon,Steel,,Sapphire Crystal,"On Hands, Hour Markers",Blue,Pencil,Baton,Steel,Silver,Triple Folding Buckle,Steel,,Women,30,2 Years + 3 Years warranty extension by scanning the QR code on the warranty card,Switzerland,,,,,,On Bezel,0,,,0,,,,,,,,
Rendez-Vous Classic Night & Day,1110000,Jaeger-LeCoultre,Rendez-Vous,Rendez-Vous Classic,Q3448410,Moon Phase,Automatic,898A,34.0,,Round,Steel,See-through Case Back,Sapphire Crystal,,Silver,Sword,,Leather,Blue,Double Folding Buckle,Steel,7630007194605.0,Women,30,2 Years + 6 years warranty extension by registering here,Switzerland,898A,Analog,approx. 38 hours,30.0,28800 bph,On Dial,1,,16.0,0,,,,,28800.0,0.38,,
Master Control Calendar,1360000,Jaeger-LeCoultre,Master Control,,Q4148420,"Day-Date, Moon Phase, Small Seconds, Month",Automatic,866,40.0,10.95,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Silver,Dauphine,Dauphines,Leather,Brown,Double Folding Buckle,Steel,,Men,50,2 Years + 6 years warranty extension by registering here,Switzerland,866,Analog,approx. 70 hours,34.0,28800 bph,,1,,20.0,0,,,,,28800.0,0.7,,
Laureato Absolute Chronograph,1700000,Girard-Perregaux,Laureato,Laureato Absolute,81060-21-491-FH6A,"Chronograph, Date, Small Seconds",Automatic,GP03300-1058,44.0,,Octagon,Titanium & Black DLC,,Sapphire Crystal,,Blue,Pencil,Baton,Rubber,Black,,Titanium & Black DLC,,Men,300,2 Years + 3 Years warranty extension by scanning the QR code on the warranty card,Switzerland,GP03300-1058,Analog,approx. 46 hours,63.0,,,0,,,0,,,,,,0.46,,
Rendez-Vous Classic Night & Day,1590000,Jaeger-LeCoultre,Rendez-Vous,Rendez-Vous Classic,Q3448430,Moon Phase,Automatic,898A,34.0,8.0,Round,Steel,See-through Case Back,Sapphire Crystal,,Silver,Sword,,Leather,Blue,Double Folding Buckle,Steel,7630007195022.0,Women,30,2 Years + 6 years warranty extension by registering here,Switzerland,898A,Analog,approx. 38 hours,30.0,28800 bph,On Bezel,1,,16.0,0,,,,,28800.0,0.38,,
Perpetual Moon Steel,1620000,Arnold & Son,Perpetual Moon,,1GLAS.U02A.C122S,Moon Phase,Manual Winding,A&S1512,42.0,,Round,Steel,See-through Case Back,Sapphire Crystal,On Moon Phase,Blue,,,Leather,Black,Pin Buckle,Steel,,Men,30,2 Years,Switzerland,A&S1512,Analog,approx. 90 hours,,,,0,,,0,,,,,,0.9,,
Classic Fusion King Gold Diamonds,1790000,Hublot,Classic Fusion,3-Hands,581.OX.1181.RX.1104,Date,Quartz,,33.0,,Round,Rose Gold,,Sapphire Crystal,,Black,,,Rubber,Black,,,,Women,50,2 Years,Switzerland,,,,,,On Bezel,0,,,0,,,,,,,,
Nebula 41.5 Gold,2700000,Arnold & Son,Nebula,,1NEAR.S01A.C123A,Small Seconds,Manual Winding,A&S5101,41.5,,Round,Rose Gold,See-through Case Back,Sapphire Crystal,,Skeleton,Obelisque,,Leather,Brown,Pin Buckle,,,Men,30,2 Years,Switzerland,A&S5101,Analog,approx. 90 hours,24.0,21600 bph,,0,,,0,,,,,21600.0,0.9,,
